text,video_url,created_at,fecha,likes,respuestas,_origen,fuente,text_clean,emojis
rey Juan Carlos Móstoles?,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2024-01-14 23:10:05+00:00,2024-01-14,1,0,adolescente_donar_tiktok.csv,tiktok,rey Juan Carlos Móstoles?,
mil gracias🙏💕!!!! hace mucha falta💪💪🙏🥰🥰,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2024-01-10 08:39:45+00:00,2024-01-10,1,0,adolescente_donar_tiktok.csv,tiktok,mil gracias !!!! hace mucha falta,🙏💕 💪💪🙏🥰🥰
Haber el piercing,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2023-12-24 16:40:48+00:00,2023-12-24,0,0,adolescente_donar_tiktok.csv,tiktok,Haber el piercing,
Tienes la misma voz que Ester Exposito,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2023-11-24 19:55:37+00:00,2023-11-24,2,0,adolescente_donar_tiktok.csv,tiktok,Tienes la misma voz que Ester Exposito,
Tu salistes a yo soy plex no,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2024-01-03 13:47:48+00:00,2024-01-03,4,0,adolescente_donar_tiktok.csv,tiktok,Tu salistes a yo soy plex no,
de donde es tu top?,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2023-12-17 14:06:24+00:00,2023-12-17,1,0,adolescente_donar_tiktok.csv,tiktok,de donde es tu top?,
Es super bueno donar sangre,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2023-12-01 15:04:27+00:00,2023-12-01,1,0,adolescente_donar_tiktok.csv,tiktok,Es super bueno donar sangre,
Por infecciones como vih o otras demoran eso demora la incubación o el proceso,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2023-12-31 20:04:09+00:00,2023-12-31,48,0,adolescente_donar_tiktok.csv,tiktok,Por infecciones como vih o otras demoran eso demora la incubación o el proceso,
Si te haces un piercing/tatto hace menos de tantos meses no puedes donar,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2023-12-29 17:56:30+00:00,2023-12-29,3,0,adolescente_donar_tiktok.csv,tiktok,Si te haces un piercing/tatto hace menos de tantos meses no puedes donar,
donar no es acto altruista?,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2025-08-13 22:55:36+00:00,2025-08-13,0,0,adolescente_donar_tiktok.csv,tiktok,donar no es acto altruista?,
@Naira,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2023-11-29 16:32:09+00:00,2023-11-29,2,1,adolescente_donar_tiktok.csv,tiktok,@Naira,
"ir a donar a un hospital!!!!!!! ahí luego la venden al paciente, es una mierda",https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2023-11-24 17:35:11+00:00,2023-11-24,2,0,adolescente_donar_tiktok.csv,tiktok,"ir a donar a un hospital!!!!!!! ahí luego la venden al paciente, es una mierda",
la novia d rubygex,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2023-11-23 22:40:27+00:00,2023-11-23,2,0,adolescente_donar_tiktok.csv,tiktok,la novia d rubygex,
urjc mostoles manda,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2023-11-23 22:33:32+00:00,2023-11-23,2,0,adolescente_donar_tiktok.csv,tiktok,urjc mostoles manda,
😂😂😂,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2024-01-12 04:56:36+00:00,2024-01-12,1,0,adolescente_donar_tiktok.csv,tiktok,,😂😂😂
Esos pintitos muy buenos pa el sevilla,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2024-01-31 17:51:57+00:00,2024-01-31,1,0,adolescente_donar_tiktok.csv,tiktok,Esos pintitos muy buenos pa el sevilla,
@Labicoo💛🖤,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2024-01-09 17:30:04+00:00,2024-01-09,1,0,adolescente_donar_tiktok.csv,tiktok,@Labicoo,💛🖤
Carnet sin examen? Si es possible mas ifo MD 🤑🤑,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2024-02-20 19:33:43+00:00,2024-02-20,1,0,adolescente_donar_tiktok.csv,tiktok,Carnet sin examen? Si es possible mas ifo MD,🤑🤑
😂😂,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2023-11-23 21:03:00+00:00,2023-11-23,0,0,adolescente_donar_tiktok.csv,tiktok,,😂😂
te pareces a la hija de Joaquín,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2024-01-14 20:56:38+00:00,2024-01-14,0,0,adolescente_donar_tiktok.csv,tiktok,te pareces a la hija de Joaquín,
tiene que pasar 1 años desde que te los hiciste para donar,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2025-05-03 14:22:55+00:00,2025-05-03,0,0,adolescente_donar_tiktok.csv,tiktok,tiene que pasar 1 años desde que te los hiciste para donar,
si luego de los 4 meses del tatuaje,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2023-11-30 17:28:13+00:00,2023-11-30,0,0,adolescente_donar_tiktok.csv,tiktok,si luego de los 4 meses del tatuaje,
Claro igual que los piercings,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2023-11-23 22:03:16+00:00,2023-11-23,3,0,adolescente_donar_tiktok.csv,tiktok,Claro igual que los piercings,
creo que puedes cuando pasan 4 meses desde que te hiciste el tatu si no me equivoco,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2023-11-23 22:00:39+00:00,2023-11-23,6,0,adolescente_donar_tiktok.csv,tiktok,creo que puedes cuando pasan 4 meses desde que te hiciste el tatu si no me equivoco,
❤️❤️❤️,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2023-12-29 12:06:23+00:00,2023-12-29,2,0,adolescente_donar_tiktok.csv,tiktok,,❤️❤️❤️
Tous,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2023-11-27 13:48:14+00:00,2023-11-27,0,0,adolescente_donar_tiktok.csv,tiktok,Tous,
Bueno ya sabemos que tienes pirsing,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2024-01-12 18:04:50+00:00,2024-01-12,0,0,adolescente_donar_tiktok.csv,tiktok,Bueno ya sabemos que tienes pirsing,
Un autobús no un camión de que si 😂😂,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2024-01-09 21:03:23+00:00,2024-01-09,0,0,adolescente_donar_tiktok.csv,tiktok,Un autobús no un camión de que si,😂😂
Dan una bebida y Sandwich 😂😂😂,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2023-11-24 13:00:03+00:00,2023-11-24,0,0,adolescente_donar_tiktok.csv,tiktok,Dan una bebida y Sandwich,😂😂😂
pov tienes sed las pibardas 😝😝😝,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2024-01-09 17:59:48+00:00,2024-01-09,0,0,adolescente_donar_tiktok.csv,tiktok,pov tienes sed las pibardas,😝😝😝
@Lu👑 te suena?,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2024-01-09 16:55:25+00:00,2024-01-09,0,1,adolescente_donar_tiktok.csv,tiktok,@Lu te suena?,👑
aver como te queda el piercing 😏,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2024-01-04 15:09:40+00:00,2024-01-04,0,0,adolescente_donar_tiktok.csv,tiktok,aver como te queda el piercing,😏
Sii al final salió con un sandwich,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2023-11-27 13:49:17+00:00,2023-11-27,0,0,adolescente_donar_tiktok.csv,tiktok,Sii al final salió con un sandwich,
El año que viene😞,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2023-11-29 16:46:19+00:00,2023-11-29,0,0,adolescente_donar_tiktok.csv,tiktok,El año que viene,😞
